metric,value
final_method_rows,18
final_methods,"[""adaptive_gated_contention_actor"", ""balanced_topology_gated_contention_actor"", ""contention_actor"", ""contention_no_isac"", ""gated_contention_actor"", ""mappo_no_isac"", ""skyorbs_like"", ""topology_adaptive_gated_contention_actor"", ""uniform_random""]"
final_beams,"[10.0, 15.0]"
final_nodes,[100]
final_slots,[3000]
final_episode_min,10
final_episode_max,20
min_actor_ratio_vs_random_or_skyorbs,22.314164004259936
min_actor_ratio_vs_no_isac_marl,97.45581395348937
trace_complete_rows,18
trace_total_rows,18
trace_raw_manifest_paths,28
trace_raw_manifests_existing,28
trace_checkpoint_paths,8
trace_checkpoints_existing,8
raw_bundle_trace_files,36
raw_bundle_trace_files_git_tracked,0
training_runs,3
training_step_rows,90000
training_episode_rows,300
training_eval_rows,198
training_figures,19
stability_rows,345
stability_main_rows,126
stability_beams,"[3.0, 5.0, 10.0, 15.0, 30.0]"
stability_nodes,"[10, 20, 50, 100]"
stability_protocols,"[""ablation_isac_no_beam_lock"", ""ablation_isac_no_candidate_set"", ""ablation_isac_no_topology"", ""ablation_isac_one_slot_delay"", ""improved_rl_isac"", ""improved_rl_no_isac"", ""rl_no_isac"", ""skyorbs_like_skip_scan"", ""uniform_random""]"
stability_mobility_models,"[""gauss_markov"", ""random_direction"", ""random_walk"", ""random_waypoint""]"
stability_slot_durations_ms,"[1.0, 5.0, 10.0, 20.0, 100.0]"
artifact_count,124
artifact_missing_count,0
independent_rerun_all_metrics_match,True
independent_rerun_status_counts,{'MATCH': 5}
independent_rerun_method,gated_contention_actor
independent_rerun_beamwidth_deg,10.0
code_evidence_files_present,6
code_evidence_files_total,6
