protocol,beamwidth_deg,n_episodes,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_count_mean,collision_count_std,lambda2_mean,lambda2_std,empty_scan_ratio_mean,empty_scan_ratio_std,discovery_rate_ci95,collision_penalized_discovery_rate_ci95,collision_count_ci95,lambda2_ci95,empty_scan_ratio_ci95
ablation_isac_one_slot_delay,10.0,5,0.2977373737373737,0.0089460056585684,0.2621943358184951,0.0068371773307791,670.6,45.08924483732235,9.47731576921876,1.9636122427816187,0.495679901441973,0.0065512735883983,0.007841519697625431,0.005993050168050312,39.52246567207061,1.721182018873724,0.005742444488480171
collision_aware_isac,10.0,5,0.3697373737373737,0.0114589448733488,0.316228139630789,0.0051400626131361,836.4,99.0365589062948,13.663572884574716,3.996735216337542,0.4986026872638928,0.0058345195046135,0.01004420803739441,0.004505463529338389,86.80937136507787,3.5032928796648437,0.00511418183351876
improved_rl_isac,10.0,5,0.3639191919191919,0.0052035008190054,0.29951165452826,0.003381080620226,1064.4,46.27569556473462,13.135895800953827,1.5919514842144435,0.5010035958357233,0.0067087449757459,0.004561069568490586,0.0029636478328591343,40.56243558762219,1.3954070003493901,0.005880474245315379
improved_rl_no_isac,10.0,5,0.0006060606060606,0.0001806923618181,0.0006060606060606,0.0001806923618181,0.0,0.0,0.0,0.0,0.9011008838970982,0.00126874990525,0.00015838383838378154,0.00015838383838378154,0.0,0.0,0.0011121083255574834
uniform_random,10.0,5,0.0004444444444444,8.080808080808081e-05,0.0004444444444444,8.080808080808081e-05,0.0,0.0,0.0,0.0,0.9019559232024712,0.0013692428178263,7.08314058327206e-05,7.08314058327206e-05,0.0,0.0,0.0012001942471982835
ablation_isac_one_slot_delay,15.0,5,0.5107070707070707,0.011244379838445,0.2206924158393807,0.0047781291627308,6510.8,375.4673887303664,23.01237447899308,3.6030843741638217,0.3317099504655863,0.007015086686902,0.00985613349196772,0.0041882148723509675,329.1116769778916,3.158242703004656,0.006148994594386929
collision_aware_isac,15.0,5,0.5695757575757575,0.0114811477384672,0.2504312360188031,0.0047786105776353,6314.6,386.6520916793287,27.346198106159044,1.9737912880713968,0.3313790940842954,0.0060555757657203,0.010063669706748808,0.004188636851120089,338.9155013698842,1.730104345461609,0.0053079461895799655
improved_rl_isac,15.0,5,0.5444848484848486,0.0028609940956929,0.2042209662900044,0.0057357395672858,8256.2,312.8017902762067,26.85257725597016,3.059479400746551,0.3305896754062238,0.0051438046768334,0.002507771894228386,0.0050275974008850205,274.1828580841625,2.6817519350052064,0.004508743592789281
improved_rl_no_isac,15.0,5,0.0033939393939393,0.0009160229534347,0.0033939393939393,0.0009160229534347,0.0,0.0,-4.1812100077822326e-16,3.1714146390597816e-16,0.8351780864966705,0.002589025992421,0.0008029295203894045,0.0008029295203894045,0.0,2.7798674973680474e-16,0.002269381340910347
uniform_random,15.0,5,0.0025858585858585,0.0008609000304106,0.0025858585858585,0.0008609000304106,0.0,0.0,-2.943051281124713e-16,3.184065746555064e-16,0.835246068480272,0.0023887529177481,0.0007546121480132571,0.0007546121480132571,0.0,2.79095668201729e-16,0.00209383425097
