collision_count_delta_mean,collision_count_delta_std,collision_count_improvement_count,collision_penalized_discovery_rate_delta_mean,collision_penalized_discovery_rate_delta_std,collision_penalized_discovery_rate_improvement_count,control,discovery_rate_delta_mean,discovery_rate_delta_std,discovery_rate_improvement_count,lambda2_delta_mean,lambda2_delta_std,lambda2_improvement_count,node_count,pairs,rf_chains
-214.6,28.29558269412383,5,0.2437960117817814,0.017834323765061937,5,improved_rl_isac,-0.01777777777777778,0.03555555555555559,2,-0.0635674490391592,0.9034175570074917,2,10,5,1
65.8,5.192301994298868,0,0.365302029456601,0.024756039647261682,5,uniform_random,0.9111111111111111,0.03975231959999628,5,7.2535898384862225,0.6654861912834719,5,10,5,1
-152.8,52.99584889404075,5,0.2063793427368305,0.03937525304024139,5,wang2025_comm_tables,-0.03111111111111111,0.04121608220220316,1,-0.2295501517139508,1.3817980686852265,1,10,5,1
-33.0,24.875690945177784,5,0.11034652461198323,0.030128034726042665,5,wang2025_isac_no_collab,0.09333333333333334,0.07356864603220824,4,2.276400240893383,1.3650961794459566,5,10,5,1
-152.2,47.351451931276614,5,0.20503649985693695,0.03820869074207234,5,wang2025_isac_tables,-0.03555555555555558,0.0478681316189734,1,-0.7464101615137775,1.8516242914922219,1,10,5,1
-1134.0,232.4349371329534,5,0.18971762872661763,0.03021723282926301,5,improved_rl_isac,0.01578947368421053,0.024003693159981843,3,0.10614713440802426,1.4646997913090443,3,20,5,1
358.2,75.04505313476699,0,0.27399073179664035,0.04123698017678031,5,uniform_random,0.7863157894736842,0.018711988246980168,5,11.004237649623475,0.8023552795673101,5,20,5,1
-671.4,76.78697806268977,5,0.15277955933186066,0.025949982512019264,5,wang2025_comm_tables,-0.013684210526315788,0.01650988120142958,1,-0.16946373382266558,0.8560655551799489,3,20,5,1
-255.8,91.21710365934669,5,0.09952486902723644,0.009769430755294404,5,wang2025_isac_no_collab,0.06315789473684212,0.0299584199384373,5,2.2778099917338777,1.5015682788739848,4,20,5,1
-761.4,128.8465754298499,5,0.15938974413117338,0.026929426447762205,5,wang2025_isac_tables,-0.02315789473684209,0.0190057579844924,1,-0.5477750114193469,1.2118884622922015,2,20,5,1
-2128.6,318.27510113108127,5,0.15547769946103665,0.023455731937138014,5,improved_rl_isac,0.05057471264367817,0.009967578569507484,5,0.5454579631720581,1.7223967755301708,4,30,5,1
870.4,206.46413732171501,0,0.2320272568563447,0.03539644462010138,5,uniform_random,0.696551724137931,0.01644923569655018,5,13.458338965005376,2.0866817036917293,5,30,5,1
-1484.8,228.67916389562038,5,0.12960786228358578,0.02058035207006131,5,wang2025_comm_tables,0.009655172413793123,0.022448837913993,3,-0.10680344716612922,3.217375858800154,2,30,5,1
-407.2,242.2258450289729,5,0.07576763372714508,0.029201927757612385,5,wang2025_isac_no_collab,0.0689655172413793,0.017017706228341825,5,4.300334824196607,5.335685828673521,4,30,5,1
-1556.4,192.84874902368435,5,0.13087097996332486,0.021788374526509842,5,wang2025_isac_tables,-0.003218390804597715,0.013530058822585882,2,0.17199673049509948,1.0794273991330554,3,30,5,1
-3728.2,274.480891866811,5,0.14317856294683345,0.01643485252983716,5,improved_rl_isac,0.08230769230769228,0.01726538037900764,5,2.387450122593197,2.4251300347524323,4,40,5,1
1527.4,215.9070170235326,0,0.202614026062496,0.022458557235322807,5,uniform_random,0.6164102564102564,0.016880287785264413,5,15.889756950734933,2.523606042777824,5,40,5,1
-2771.6,181.85114792049018,5,0.11973925593120982,0.014274586399765215,5,wang2025_comm_tables,0.01692307692307691,0.015499570522776862,4,-0.16272905618399064,2.4075652961351395,3,40,5,1
-1074.6,206.6277812879962,5,0.08278443773183115,0.019006359632772408,5,wang2025_isac_no_collab,0.060512820512820475,0.01726538037900764,5,3.248067460527933,2.7105987580271664,4,40,5,1
-2664.4,188.2154085084428,5,0.11859258842642319,0.016232624758256813,5,wang2025_isac_tables,0.022564102564102528,0.034568819582261975,4,1.2276266388570598,2.522689472026801,3,40,5,1
-5565.0,334.2406318806856,5,0.1374875978570552,0.004406365880873364,5,improved_rl_isac,0.16146938775510203,0.023633463734289293,5,7.611918650994363,0.9316859336905507,5,50,5,1
2581.4,156.8522872004103,0,0.18569450010078148,0.004204048355078588,5,uniform_random,0.5986938775510203,0.015022182681336737,5,20.363232182361816,0.9424737897538439,5,50,5,1
-4417.2,436.56770379862047,5,0.11545383196854204,0.005223019098795342,5,wang2025_comm_tables,0.07004081632653059,0.021973593633257116,5,2.6728854041338073,1.170206009498777,5,50,5,1
-1940.2,430.16248093017134,5,0.08464984905833658,0.009885166817463724,5,wang2025_isac_no_collab,0.088,0.02084687634222023,5,4.30038693887678,1.3699619766313107,5,50,5,1
-4891.8,592.4759573181008,5,0.12320328349600942,0.005134930752880689,5,wang2025_isac_tables,0.09436734693877544,0.014580972121969717,5,5.663268225266659,2.833643105636214,5,50,5,1
